id,name,district,state,population,lat,lon,area
1,Aachen,Aachen,Nordrhein-Westfalen,248878,50.77556,6.08361,160.85
2,Aach,Konstanz,Baden-Württemberg,2314,47.84556,8.85167,10.69
3,Aalen,Ostalbkreis,Baden-Württemberg,68361,48.833,10.1,146.63
4,Abenberg,Roth,Bayern,5492,49.25,10.967,48.39
5,Abensberg,Kelheim,Bayern,14192,48.8,11.85,60.29
6,Achern,Ortenaukreis,Baden-Württemberg,25615,48.633,8.067,65.24
7,Achim,Verden,Niedersachsen,32084,53.06528,9.03417,68.01
8,Adelsheim,Neckar-Odenwald-Kreis,Baden-Württemberg,5099,49.40472,9.38917,43.84
9,Adenau,Ahrweiler,Rheinland-Pfalz,2955,50.383,6.933,18.56
10,Adorf,Vogtlandkreis,Sachsen,4841,50.317,12.267,42.92
11,Ahaus,Borken,Nordrhein-Westfalen,39404,52.067,7.0,151.22
12,Ahlen,Warendorf,Nordrhein-Westfalen,52635,51.76333,7.89111,123.14
13,Ahrensburg,Stormarn,Schleswig-Holstein,34052,53.67472,10.24111,35.3
14,Aichach,Aichach-Friedberg,Bayern,21488,48.45,11.13333,92.97
15,Aichtal,Esslingen,Baden-Württemberg,9916,48.62278,9.23722,23.64
16,Aken,Anhalt-Bitterfeld,Sachsen-Anhalt,7417,51.85,12.05,59.91
17,Albstadt,Zollernalbkreis,Baden-Württemberg,45472,48.21194,9.02389,134.41
18,Alfeld,Hildesheim,Niedersachsen,18478,51.98861,9.82694,72.86
19,Allendorf,Giessen,Hessen,4034,50.67889,8.82444,22.01
20,Allstedt,Mansfeld-Südharz,Sachsen-Anhalt,7650,51.4,11.383,149.77
21,Alpirsbach,Freudenstadt,Baden-Württemberg,6251,48.34611,8.40389,64.55
22,Alsdorf,Aachen,Nordrhein-Westfalen,47330,50.883,6.167,31.658
23,Alsfeld,Vogelsbergkreis,Hessen,15941,50.75111,9.27111,129.69
24,Alsleben,Salzlandkreis,Sachsen-Anhalt,2552,51.7,11.667,23.64
25,Altdorf bei Nürnberg,Nürnberger Land,Bayern,15450,49.3875,11.35694,46.59
26,Altena,Märkischer Kreis,Nordrhein-Westfalen,16527,51.3,7.66667,44.29
27,Altenberg,Sächsische Schweiz-Osterzgebirge,Sachsen,7880,50.76444,13.75778,145.81
28,Altenburg,Altenburger Land,Thüringen,31101,50.985,12.43333,45.6
29,Altenkirchen,Altenkirchen,Rheinland-Pfalz,6301,50.68722,7.64556,11.0
30,Altensteig,Calw,Baden-Württemberg,10781,48.58639,8.60472,53.21
31,Altentreptow,Mecklenburgische Seenplatte,Mecklenburg-Western Pomerania,5221,53.667,13.25,52.83
32,Altlandsberg,Märkisch-Oderland,Brandenburg,9662,52.56667,13.73306,106.21
33,Altötting,Altötting,Bayern,12977,48.22667,12.67833,23.43
34,Alzenau,Aschaffenburg,Bayern,18525,50.067,9.067,59.33
35,Alzey,Alzey-Worms,Rheinland-Pfalz,18820,49.74583,8.11528,35.21
36,Amberg,Urban district,Bayern,42052,49.44444,11.84833,50.04
37,Amorbach,Miltenberg,Bayern,3947,49.633,9.217,50.92
38,Amt Creuzburg,Wartburgkreis,Thüringen,4705,51.05139,10.24472,69.73
39,Amöneburg,Marburg-Biedenkopf,Hessen,4980,50.79778,8.92306,43.95
40,An der Schmücke,Kyffhäuserkreis,Thüringen,5945,51.3,11.217,95.29
41,Andernach,Mayen-Koblenz,Rheinland-Pfalz,30132,50.43972,7.40167,53.23
42,Angermünde,Uckermark,Brandenburg,13637,53.03333,14.0,326.44
43,Anklam,Vorpommern-Greifswald,Mecklenburg-Western Pomerania,12288,53.85,13.683,56.57
44,Annaberg-Buchholz,Erzgebirgskreis,Sachsen,19393,50.58,13.00222,27.7
45,Annaburg,Wittenberg,Sachsen-Anhalt,6635,51.73278,13.04556,224.19
46,Annweiler am Trifels,Südliche Weinstraße,Rheinland-Pfalz,7085,49.2,7.967,39.87
47,Ansbach,Urban district,Bayern,41681,49.3,10.58333,99.92
48,Apolda,Weimarer Land,Thüringen,22209,51.017,11.517,46.15
49,Arendsee,Altmarkkreis Salzwedel,Sachsen-Anhalt,6748,52.8767,11.4867,269.68
50,Arneburg,Stendal,Sachsen-Anhalt,1472,52.667,12.0,30.72
51,ArnisArnæs,Schleswig-Flensburg,Schleswig-Holstein,280,54.63,9.93139,0.45
52,Arnsberg,Hochsauerlandkreis,Nordrhein-Westfalen,73487,51.383,8.083,193.45
53,Arnstadt,Ilm-Kreis,Thüringen,27072,50.83417,10.94639,105.11
54,Arnstein,Main-Spessart,Bayern,8158,49.967,9.983,112.12
55,Arnstein,Mansfeld-Südharz,Sachsen-Anhalt,6502,51.683,11.467,121.71
56,Artern,Kyffhäuserkreis,Thüringen,6597,51.36667,11.3,45.05
57,Arzberg,Wunsiedel im Fichtelgebirge,Bayern,5057,50.067,12.183,43.22
58,Aschaffenburg,Urban district,Bayern,70858,49.96667,9.15,62.45
59,Aschersleben,Salzlandkreis,Sachsen-Anhalt,26737,51.75,11.467,156.31
60,Asperg,Ludwigsburg,Baden-Württemberg,13517,48.9,9.13333,5.8
61,Attendorn,Olpe,Nordrhein-Westfalen,24330,51.117,7.9,97.86
62,Aub,Würzburg,Bayern,1425,49.533,10.05,17.54
63,Aue-Bad Schlema,Erzgebirgskreis,Sachsen,20084,50.6,12.683,36.43
64,Auerbach in der Oberpfalz,Amberg-Sulzbach,Bayern,8717,49.683,11.617,70.33
65,Auerbach,Vogtlandkreis,Sachsen,18048,50.50944,12.4,55.52
66,Augsburg,Urban district,Bayern,295830,48.367,10.9,146.84
67,Augustusburg,Mittelsachsen,Sachsen,4508,50.81444,13.1,23.42
68,Aulendorf,Ravensburg,Baden-Württemberg,10177,47.95417,9.63889,52.36
69,Auma-Weidatal,Greiz,Thüringen,3394,50.7,11.9,55.75
70,Aurich,Aurich,Niedersachsen,42268,53.47139,7.48361,197.21
71,Aßlar,Lahn-Dill,Hessen,13654,50.583,8.467,43.57
72,Babenhausen,Darmstadt-Dieburg,Hessen,16927,49.96667,8.95,66.87
73,Bacharach,Mainz-Bingen,Rheinland-Pfalz,1878,50.06667,7.76667,23.65
74,Backnang,Rems-Murr-Kreis,Baden-Württemberg,37558,48.94639,9.43056,39.37
75,Bad Aibling,Rosenheim,Bayern,19097,47.867,12.017,41.55
76,Bad Arolsen,Waldeck-Frankenberg,Hessen,15571,51.367,9.017,126.32
77,Bad Belzig,Potsdam-Mittelmark,Brandenburg,11096,52.14222,12.59556,234.82
78,Bad Bentheim,Grafschaft Bentheim,Niedersachsen,15770,52.30306,7.15972,100.16
79,Bad Bergzabern,Südliche Weinstraße,Rheinland-Pfalz,8271,49.1028,7.99913,10.71
80,Bad Berka,Weimarer Land,Thüringen,7520,50.9,11.28083,55.27
81,Bad Berleburg,Siegen-Wittgenstein,Nordrhein-Westfalen,18847,51.04972,8.4,275.33
82,Bad Berneck i.Fichtelgebirge,Bayreuth,Bayern,4384,50.04778,11.67222,38.25
83,Bad Bevensen,Uelzen,Niedersachsen,9237,53.07917,10.58333,48.01
84,Bad Bibra,Burgenlandkreis,Sachsen-Anhalt,2654,51.2,11.567,49.76
85,Bad Blankenburg,Saalfeld-Rudolstadt,Thüringen,6191,50.68333,11.26667,35.56
86,Bad Bramstedt,Segeberg,Schleswig-Holstein,15128,53.91861,9.88444,24.14
87,Bad Breisig,Ahrweiler,Rheinland-Pfalz,9530,50.50917,7.29639,19.94
88,Bad Brückenau,Bad Kissingen,Bayern,6470,50.30944,9.79056,23.73
89,Bad Buchau,Biberach,Baden-Württemberg,4347,48.06611,9.61,23.77
90,Bad Camberg,Limburg-Weilburg,Hessen,14184,50.3,8.267,54.64
91,Bad Doberan,Rostock,Mecklenburg-Western Pomerania,12755,54.10694,11.90528,32.74
92,Bad Driburg,Höxter,Nordrhein-Westfalen,18902,51.733,9.017,115.07
93,Bad Düben,Nordsachsen,Sachsen,7833,51.59194,12.58528,45.45
94,Bad Dürkheim,Bad Dürkheim,Rheinland-Pfalz,18553,49.45944,8.16806,102.67
95,Bad Dürrenberg,Saalekreis,Sachsen-Anhalt,11499,51.283,12.067,36.13
96,Bad Dürrheim,Schwarzwald-Baar-Kreis,Baden-Württemberg,13414,48.017,8.533,62.09
97,Bad Elster,Vogtlandkreis,Sachsen,3638,50.28194,12.23472,19.77
98,Bad Ems,Rhein-Lahn-Kreis,Rheinland-Pfalz,9801,50.33806,7.71056,15.36
99,Bad Fallingbostel,Heidekreis,Niedersachsen,12174,52.8675,9.69667,63.15
100,Bad Frankenhausen,Kyffhäuserkreis,Thüringen,10019,51.35583,11.10111,91.07
101,Bad Freienwalde,Märkisch-Oderland,Brandenburg,12286,52.78556,14.0325,131.73
102,Bad Friedrichshall,Heilbronn,Baden-Württemberg,19504,49.233,9.217,24.7
103,Bad Gandersheim,Northeim,Niedersachsen,9492,51.87194,10.02528,9.049
104,Bad Gottleuba-Berggießhübel,Sächsische Schweiz-Osterzgebirge,Sachsen,5538,50.85833,13.95,88.75
105,Bad Griesbach im Rottal,Passau,Bayern,8994,48.45,13.2,70.18
106,Bad Harzburg,Goslar,Niedersachsen,21820,51.88111,10.56222,65.42
107,Bad Herrenalb,Calw,Baden-Württemberg,8085,48.80056,8.44083,33.03
108,Bad Hersfeld,Hersfeld-Rotenburg,Hessen,30039,50.86833,9.7075,73.82
109,Bad Homburg v. d. Höhe,Hochtaunuskreis,Hessen,54092,50.21667,8.6,51.17
110,Bad Honnef,Rhein-Sieg-Kreis,Nordrhein-Westfalen,25759,50.645,7.22694,48.3
111,Bad Hönningen,Neuwied,Rheinland-Pfalz,5982,50.51778,7.30861,20.09
112,Bad Iburg,Osnabrück,Niedersachsen,10540,52.15917,8.04722,36.44
113,Bad Karlshafen,Kassel,Hessen,3587,51.633,9.45,14.85
114,Bad Kissingen,Bad Kissingen,Bayern,22421,50.2,10.067,69.42
115,Bad Kreuznach,Bad Kreuznach,Rheinland-Pfalz,51310,49.85,7.867,55.63
116,Bad Krozingen,Breisgau-Hochschwarzwald,Baden-Württemberg,20783,47.917,7.7,35.66
117,Bad Königshofen,Rhön-Grabfeld,Bayern,6045,50.3,10.417,69.52
118,Bad König,Odenwaldkreis,Hessen,9835,49.75,9.017,46.73
119,Bad Köstritz,Greiz,Thüringen,3461,50.93056,12.00972,16.85
120,Bad Kötzting,Cham,Bayern,7381,49.17694,12.855,62.17
121,Bad Laasphe,Siegen-Wittgenstein,Nordrhein-Westfalen,13412,50.93028,8.41667,135.76
122,Bad Langensalza,Unstrut-Hainich-Kreis,Thüringen,17211,51.10806,10.64667,129.37
123,Bad Lauchstädt,Saalekreis,Sachsen-Anhalt,8781,51.367,11.833,85.36
124,Bad Lausick,Leipzig,Sachsen,8087,51.14472,12.64528,69.79
125,Bad Lauterberg,Göttingen,Niedersachsen,10294,51.63167,10.47056,41.54
126,Bad Liebenstein,Wartburgkreis,Thüringen,7665,50.81444,10.35417,48.81
127,Bad Liebenwerda,Elbe-Elster,Brandenburg,9224,51.51667,13.4,138.41
128,Bad Liebenzell,Calw,Baden-Württemberg,9629,48.77417,8.73139,33.8
129,Bad Lippspringe,Paderborn,Nordrhein-Westfalen,16408,51.78333,8.81667,50.99
130,Bad Lobenstein,Saale-Orla-Kreis,Thüringen,5843,50.45,11.65,48.94
131,Bad Marienberg,Westerwaldkreis,Rheinland-Pfalz,6103,50.65194,7.95222,9.96
132,Bad Mergentheim,Main-Tauber-Kreis,Baden-Württemberg,24034,49.5,9.76667,129.97
133,Bad Muskau,Görlitz,Sachsen,3681,51.55,14.71667,15.35
134,Bad Münder,Hameln-Pyrmont,Niedersachsen,17415,52.19917,9.46528,107.69
135,Bad Münstereifel,Euskirchen,Nordrhein-Westfalen,17387,50.55306,6.76611,150.84
136,Bad Nauheim,Wetteraukreis,Hessen,32493,50.367,8.75,32.55
137,Bad Nenndorf,Schaumburg,Niedersachsen,11279,52.33694,9.37861,23.0
138,Bad Neuenahr-Ahrweiler,Ahrweiler,Rheinland-Pfalz,28634,50.54472,7.11333,63.4
139,Bad Neustadt an der Saale,Rhön-Grabfeld,Bayern,15261,50.32194,10.21611,36.79
140,Bad Oeynhausen,Minden-Lübbecke,Nordrhein-Westfalen,48535,52.2,8.8,64.8
141,Bad Oldesloe,Stormarn,Schleswig-Holstein,24784,53.81167,10.37417,52.6
142,Bad Orb,Main-Kinzig-Kreis,Hessen,10295,50.217,9.35,47.78
143,Bad Pyrmont,Hameln-Pyrmont,Niedersachsen,19162,51.98667,9.26361,61.96
144,Bad Rappenau,Heilbronn,Baden-Württemberg,21650,49.233,9.1,73.55
145,Bad Reichenhall,Berchtesgadener Land,Bayern,18530,47.72472,12.87694,39.44
146,Bad Rodach,Coburg,Bayern,6375,50.333,10.783,77.65
147,Bad Sachsa,Göttingen,Niedersachsen,7373,51.59694,10.55222,33.13
148,Bad Salzdetfurth,Hildesheim,Niedersachsen,13255,52.06528,10.00917,67.11
149,Bad Salzuflen,Lippe,Nordrhein-Westfalen,54166,52.0875,8.75056,100.05
150,Bad Salzungen,Wartburgkreis,Thüringen,23177,50.81167,10.23333,152.02
151,Bad Saulgau,Sigmaringen,Baden-Württemberg,17567,48.0175,9.50028,97.34
152,Bad Schandau,Sächsische Schweiz-Osterzgebirge,Sachsen,3511,50.917,14.15,46.77
153,Bad Schmiedeberg,Wittenberg,Sachsen-Anhalt,8129,51.68806,12.7375,159.99
154,Bad Schussenried,Biberach,Baden-Württemberg,8853,48.00667,9.65861,55.02
155,Bad Schwalbach,Rheingau-Taunus-Kreis,Hessen,11207,50.13333,8.06667,40.27
156,Bad Schwartau,Ostholstein,Schleswig-Holstein,20240,53.91944,10.6975,18.39
157,Bad Segeberg,Segeberg,Schleswig-Holstein,17641,53.917,10.317,18.87
158,Bad Sobernheim,Bad Kreuznach,Rheinland-Pfalz,6468,49.78722,7.65278,54.06
159,Bad Soden-Salmünster,Main-Kinzig-Kreis,Hessen,13566,50.267,9.367,58.62
160,Bad Soden,Main-Taunus-Kreis,Hessen,22871,50.133,8.5,12.55
161,Bad Sooden-Allendorf,Werra-Meißner-Kreis,Hessen,8460,51.283,9.983,73.53
162,Bad Staffelstein,Lichtenfels,Bayern,10474,50.1,10.967,99.39
163,Bad Sulza,Weimarer Land,Thüringen,7678,51.0875,11.62222,91.14
164,Bad Säckingen,Waldshut,Baden-Württemberg,17510,47.55,7.95,25.34
165,Bad Sülze,Vorpommern-Rügen,Mecklenburg-Western Pomerania,1731,54.133,12.667,26.37
166,Bad Teinach-Zavelstein,Calw,Baden-Württemberg,3143,48.68833,8.68806,25.1
167,Bad Tennstedt,Unstrut-Hainich-Kreis,Thüringen,2474,51.15389,10.83722,27.27
168,Bad Tölz,Bad Tölz-Wolfratshausen,Bayern,19141,47.76028,11.55667,30.8
169,Bad Urach,Reutlingen,Baden-Württemberg,12473,48.49306,9.39861,55.5
170,Bad Vilbel,Wetteraukreis,Hessen,34714,50.17806,8.73611,25.65
171,Bad Waldsee,Ravensburg,Baden-Württemberg,20103,47.92111,9.75194,108.54
172,Bad Wildbad,Calw,Baden-Württemberg,10386,48.75028,8.55056,105.26
173,Bad Wildungen,Waldeck-Frankenberg,Hessen,17287,51.117,9.117,120.1
174,Bad Wilsnack,Prignitz,Brandenburg,2553,52.95,11.94972,79.21
175,Bad Wimpfen,Heilbronn,Baden-Württemberg,7308,49.233,9.167,19.38
176,Bad Windsheim,Neustadt a.d.Aisch-Bad Windsheim,Bayern,12195,49.5,10.417,78.26
177,Bad Wurzach,Ravensburg,Baden-Württemberg,14782,47.90944,9.89944,182.26
178,Bad Wörishofen,Unterallgäu,Bayern,16327,48.00583,10.59694,57.8
179,Bad Wünnenberg,Paderborn,Nordrhein-Westfalen,12206,51.517,8.7,161.04
180,Baden-Baden,Urban district,Baden-Württemberg,55449,48.76278,8.24083,140.18
181,Baesweiler,Aachen,Nordrhein-Westfalen,27319,50.9,6.183,27.82
182,Baiersdorf,Erlangen-Höchstadt,Bayern,7945,49.65,11.017,11.79
183,Balingen,Zollernalbkreis,Baden-Württemberg,34505,48.27306,8.85056,90.34
184,Ballenstedt,Harz,Sachsen-Anhalt,8883,51.72,11.2375,86.61
185,Balve,Märkischer Kreis,Nordrhein-Westfalen,11217,51.33333,7.86667,74.76
186,Bamberg,Urban districts of Germany,Bayern,76674,49.9,10.9,54.62
187,Barby,Salzlandkreis,Sachsen-Anhalt,8226,51.967,11.867,152.61
188,Bargteheide,Stormarn,Schleswig-Holstein,15984,53.71667,10.26667,15.83
189,Barmstedt,Pinneberg,Schleswig-Holstein,10428,53.783,9.767,17.17
190,Barntrup,Lippe,Nordrhein-Westfalen,8501,51.98306,9.11667,59.46
191,Barsinghausen,Hanover,Niedersachsen,34394,52.3,9.48111,102.65
192,Barth,Vorpommern-Rügen,Mecklenburg-Western Pomerania,8609,54.367,12.717,40.83
193,Baruth/Mark,Teltow-Fläming,Brandenburg,4225,52.05,13.5,233.62
194,Bassum,Diepholz,Niedersachsen,16072,52.84944,8.72667,169.0
195,Battenberg,Waldeck-Frankenberg,Hessen,5391,51.017,8.65,64.73
